Component,Package,Value,Manuf,Manuf Part No,Distrib,Distrib Part No,Ref Name,Qty
0.125Wresistor,DIL,,,,,,R2 R3 R1 R4 R8 R7 R5 R9 R10,9
1N914,MISC,,,,,,D2,1
2N2222,TO92,,,,,,Q1,1
B3F-1050,DIP,,,,,,Reset SW1 SW2 SW3 SW4,5
Ceramic,C,,,,,,C13 C14 C7 C8 C4 C6 C10 C3 C5 C11 C9,11
ESP8266,DIL,,,,,,OUT1,1
Header2,SIP,,,,,,J2,1
Header5,SIP,,,,,,J1,1
LEDT1.75,SIP,,,,,,D1,1
LM2937ET-3.3,TO220,,,,,,U3,1
LogicAnalyzer,DIP,,,,,,J3,1
Speaker,DIP,,,,,,J5,1
ST7735,LCD,,,,,,J4,1
tantalum,C,,,,,,C12 C2 C1,3
testpoint,SIP,,,,,,GND TP2 TP1,3
testpoint,BIG,,,,,,TP3 TP4,2
TM4C123GH6PM,LQFP,,,,,,U1,1
Variable Resistor(POT),RV,,,,,,R6,1
XTAL,NX5032,,,,,,Y1,1
,,,,,,,,46
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.,,,,,,,,
